번호,사무소명,사무소주소,영업현황
255,무궁화뱅크공인중개사사무소,"대전광역시 서구 청사서로 70, 상가102호(월평2동, 무궁화(아))",영업중
256,대전부동산공인중개사사무소,"대전광역시 서구 계룡로603번길 17, B02호(탄방동)",영업중
257,향촌랜드공인중개사사무소,"대전광역시 서구 둔산로 15, 상가동 116호(둔산동, 향촌아파트)",영업중
258,은아사랑공인중개사사무소,"대전광역시 서구 가수원로 5, 다(10호)동 지하2호(가수원동, 은아아파트5단지)",영업중
259,초록토마토공인중개사사무소,"대전광역시 서구 복수남로 36, 101호(복수동)",영업중
260,대경공인중개사사무소,"대전광역시 서구 둔산중로 66, 103호(둔산동, 메트로팰리스)",영업중
261,유신공인중개사사무소,대전광역시 서구 가장로 69(괴정동),영업중
262,한양타운공인중개사사무소,"대전광역시 서구 문정로 131, 상가 105호(탄방동, 공작(아))",영업중
263,김박사부동산공인중개사사무소,"대전광역시 서구 월평로 58, 6층 일부(월평동)",영업중
264,청사공인중개사사무소,"대전광역시 서구 청사로 253, 상가 103호 (둔산2동, 꿈나무(아))",영업중
265,대박공인중개사사무소,"대전광역시 서구 계룡로509번길 7, 101-1(탄방동, 시티빌1)",영업중
266,시티빌공인중개사사무소,"대전광역시 서구 문정로2번길 25, 102호(탄방동, 시티빌2차)",영업중
267,목련공인중개사사무소,"대전광역시 서구 둔산남로 127, 중앙상가 102호 (둔산1동, 목련(아))",영업중
268,새미래공인중개사사무소,"대전광역시 서구 갈마로 215, 1층 (괴정동)",영업중
269,진달래타운공인중개사사무소,"대전광역시 서구 월평동로 45, 상가 102호 (월평3동, 진달래(아))",영업중
270,센추리공인중개사사무소,"대전광역시 서구 갈마역로 16, 102호(둔산동, 스카이빌)",영업중
271,한백공인중개사사무소,"대전광역시 서구 계룡로584번길 49, 1층",영업중
272,럭키공인중개사사무소,"대전광역시 서구 둔산북로 160, 상가 107호 (둔산1동, 럭키한마루(아))",영업중
273,대정공인중개사사무소,"대전광역시 서구 정림로 55, 상가 114호(정림동, 우성(아))",영업중
274,대복공인중개사사무소,대전광역시 서구 탄방로7번길 45(탄방동),영업중
275,LBA밀알공인중개사사무소,"대전광역시 서구 유등로43번길 67, 104호(복수동)",영업중
276,월평행운공인중개사사무소,"대전광역시 서구 청사로 65, 상가 107호 (월평3동, 황실타운)",영업중
277,관저4지구공인중개사사무소,"대전광역시 서구 구봉산북로21번길 64-19, 101호(관저동)",영업중
278,주연공인중개사사무소,대전광역시 서구 계룡로629번길 22(탄방동),영업중
279,탄방자이공인중개사사무소,대전광역시 서구 계룡로 540(괴정동),영업중
